Player Name,Last Updated,Name,Birthday,Country,Team,Mouse Model,Mouse DPI,Mouse Sensitivity
Sonic,23 Dec 2023,Aran Groesbeek,"December 2, 1998",South Africa,Wildcard Gaming,ZOWIE EC2-CW,400,2.50
kressy,28 Dec 2022,Marko Đorđević,"July 19, 1996",Germany,Free Agent,ZOWIE S1,800,1.10
fl0m,09 Dec 2023,Erik Flom,"September 14, 1992",United States,Mythic,SteelSeries Prime Wireless,800,1.50
dennis,28 Nov 2023,Dennis Edman,"January 7, 1991",Sweden,Retired,Razer Deathadder V3 Pro Black,400,2.00
bondik,20 Feb 2024,Vlаdуslаv Nеchуроrchuk,"July 2, 1993",Ukraine,ESC Gaming,ZOWIE EC2-CW,1800,2.50
sycrone,29 Dec 2022,Dennis Nielsen,"February 11, 1996",Denmark,MOUZ,Razer Deathadder V3 Pro Black,400,1.80
EspiranTo,13 Mar 2024,Rokas Milasauskas,"April 12, 2001",Lithuania,Free Agent,Logitech G Pro X Superlight Black,400,3.09
NaToSaphiX,08 Nov 2023,Niels Christian Sillassen,"August 17, 1996",Denmark,Retired,Logitech G Pro X Superlight Black,800,1.00
oBo,27 Nov 2023,Owen Schlatter,"June 26, 2003",United States,Retired,ZOWIE EC2-B Divina Blue,400,2.20
HS,03 Feb 2024,Kevin Tarn,"December 15, 1996",Estonia,Free Agent,ZOWIE FK2,400,2.40
Edward,01 Jan 2024,Ioann Sukhariev,"December 28, 1987",Ukraine,Retired,Logitech G Pro X Superlight Black,400,1.90
Xizt,29 Dec 2022,Richard Landström,"February 22, 1991",Sweden,Heroic,ZOWIE EC2-A,400,3.00
MICHU,09 Dec 2023,Michał Müller,"December 29, 1996",Poland,IKLA,Razer Deathadder V3 Pro Black,800,0.47
doto,23 Jan 2024,Joonas Forss,"February 18, 1996",Finland,JANO Esports,Logitech G Pro X Superlight White,800,0.72
keiz,04 Jan 2024,Ruann Rotondano,"July 22, 2001",Brazil,Team oNe eSports,ZOWIE EC2-CW,400,1.8
waterfaLLZ,14 Feb 2024,Nikita Matveyev,"June 18, 1995",Russia,Retired,ZOWIE EC2-A,1600,0.90
kRYSTAL,28 Nov 2023,Kevin Amend,"July 23, 1993",Germany,Retired,Logitech MX518 HERO,800,1.50
gAuLeS,22 Nov 2023,Alexandre Chiqueta,"December 2, 1983",Brazil,Content Creator,Razer Viper Mini Signature Edition,400,2.20
hutji,14 Feb 2024,Pavel Lashkov,"September 13, 1995",Russia,Retired,ZOWIE ZA12,800,1.10
bit,30 Aug 2023,Bruno Lima,"July 16, 1990",Brazil,MIBR,ZOWIE EC2-B,400,2.30
ISSAA,07 Nov 2023,Issa Murad,"December 23, 1996",Jordan,JiJieHao International,ZOWIE EC2,400,2.80
smooya,05 Mar 2024,Owen Butterfield,"August 16, 1999",United Kingdom,The Witchers,Razer DeathAdder Chroma,400,1.80
kyxsan,05 Feb 2024,Damjan Stoilkovski,"May 26, 2000",North Macedonia,Heroic,Razer Deathadder V3 Pro Black,400,3.3
KrizzeN,28 Nov 2023,Aidyn Turlybekov,"September 24, 1999",Kazakhstan,Retired,Xtrfy M4 Black,400,2.20
emi,25 Nov 2023,Luka Vukovic,"September 5, 1993",Serbia,Pompa Team,ZOWIE EC2-B Divina Blue,400,1.77
phr,01 Mar 2023,Tomasz Wójcik,"September 26, 1996",Poland,Free Agent,VAXEE OUTSET AX,800,0.75
morelz,03 Feb 2024,Piotr Taterka,"July 28, 1994",Poland,Permitta Esports,ZOWIE EC2-CW,400,2.26
mouz,28 Dec 2022,Mikołaj Karolewski,"October 25, 1995",Poland,Free Agent,ZOWIE EC2-A,400,1.70
GruBy,20 Apr 2023,Dominik Świderski,"February 28, 1995",Poland,UNGENTIUM,VAXEE OUTSET AX,400,1.70
seized,18 Feb 2024,Denis Kostin,"September 9, 1994",Russia,9 Pandas,ZOWIE EC2-CW,400,2
GuardiaN,20 Feb 2024,Ladislav Kovács,"July 9, 1991",Slovakia,Free Agent,Xtrfy M4 Pink,400,1.50
xertioN,30 Dec 2023,Dorian Berman,"July 22, 2004",Israel,MOUZ,ZOWIE EC1-C,400,2.20
kolor,30 Aug 2023,Ádám Domoszlay,"October 26, 1999",Hungary,Free Agent,ZOWIE S1,800,1.10
CRUC1AL,14 Feb 2024,Joey Steusel,"February 4, 1997",Netherlands,Into The Breach,ZOWIE EC2-CW,400,2.50
rallen,02 Nov 2023,Karol Rodowicz,"June 8, 1994",Poland,Into The Breach,ZOWIE EC1-CW,1600,1.3
Surreal,30 Aug 2023,Kia Man,"May 11, 1996",United Kingdom,Endpoint,Logitech G Pro X Superlight Black,Unknown,1.60
draken,31 Jan 2024,William Sundin,"October 5, 1995",Sweden,IKLA,Razer Deathadder V3 Pro White,400,1.95
w0nderful,09 Feb 2024,Ihor Zhdanov,"December 14, 2004",Ukraine,Natus Vincere,Logitech G Pro X Superlight 2 Magenta,400,2.67
nqz,18 Mar 2024,Lucas Soares,"January 18, 2005",Brazil,paiN Gaming,Logitech G Pro X Superlight 2 Black,800,1.20
Nertz,01 Feb 2024,Guy Iluz,"July 12, 1999",Israel,Heroic,ZOWIE EC2-CW,400,1.9
clax,12 May 2023,Timur Sabirov,"June 8, 2002",Russia,9 Pandas,ZOWIE EC2-B,400,2.20
ztr,08 Dec 2023,Erik Gustafsson,"August 2, 2003",Sweden,Metizport,ZOWIE EC2-B,400,1.75
Lobanjica,12 Sep 2023,Nikola Mijomanović,"September 15, 1989",Montenegro,Unluko5,ZOWIE EC3-CW,800,1.70
Pimp,15 Mar 2024,Jacob Winneche,"July 31, 1995",Denmark,00Nation,SteelSeries Aerox 3 Wireless Ghost,1600,0.7
stfN,14 Feb 2024,Stefan Seier,"November 11, 1992",Germany,Retired,Glorious Model O White,400,2.30
DemQQ,25 Feb 2024,Serhii Demchenko,"May 23, 2001",Ukraine,Monte,Logitech G Pro X Superlight White,800,1.04
SIXER,18 Jan 2024,Cristophe Xia,"April 21, 1991",France,Free Agent,Logitech G Pro X Superlight Black,400,1.4
fitch,29 Apr 2023,Bektiyar Bahytov,"July 15, 1992",Kazakhstan,Golden Knights Gaming,Logitech G Pro X Superlight Black,400,1.50
Almazer,28 Apr 2023,Almaz Assadulin,"November 6, 1998",Russia,Trident Clan,Logitech G Pro X Superlight Black,400,2.90
skywhywalker,31 Aug 2023,Timur Leonov,"November 25, 2003",Russia,Free Agent,Logitech G Pro X Superlight Black,1200,1.666
HexT,15 Jan 2024,Jadan Postma,"October 30, 2001",Canada,NRG,Razer Deathadder V3 Pro White,400,1.4
Nodios,13 Mar 2024,Magnus Olsen,"May 7, 1999",Denmark,ECSTATIC,ZOWIE EC1-A,400,1.51
Xand,06 Oct 2023,Alexandre Zizi,"April 11, 1995",Brazil,Free Agent,VAXEE XE Wireless White,1600,0.25
LogaN,13 Mar 2024,Logan Corti,"June 18, 1998",France,Gentle Mates,Razer Deathadder V3 Pro Black,800,0.175
xms,02 Aug 2023,Alexandre Forté,"May 24, 1997",France,Karmine Corp,Razer Deathadder V3 Pro White,800,0.45
Raijin,08 Mar 2024,Konstantin Trubarov,"January 7, 2001",Russia,Free Agent,Logitech G Pro X Superlight Magenta,800,1
buda,24 Sep 2023,Nicolás Kramer,"February 24, 2003",Argentina,9z Team,Logitech G Pro X Superlight Black,400,1.8
s1n,01 Feb 2024,Elias Stein,"March 18, 2002",Germany,BIG,Logitech G Pro X Superlight Black,400,1.8
Annihilation,29 Jul 2023,Tuvshintugs Nyamdorj,"January 25, 2000",Mongolia,Free Agent,Logitech G Pro X Superlight White,400,1.48
fANDER,24 Feb 2024,Ilya Bagrev,"June 2, 1999",Russia,Content Creator,VAXEE OUTSET AX Wireless Orange,400,2
ngiN,19 Jun 2023,Engin Kor,"May 27, 1993",Turkey,Free Agent,Razer Deathadder V3 Pro Black,800,0.244
Smithzz,22 Feb 2024,Edouard Dubourdeaux,"December 17, 1988",France,Free Agent,VAXEE OUTSET AX Yellow,400,1.88
DavCost,07 Nov 2023,Vadim Vasilyev,"May 18, 1996",Russia,JiJieHao International,SteelSeries Rival 300,800,1.10
kinqie,17 Jan 2024,Semyon Lisitsyn,"November 7, 1991",Russia,Free Agent,Logitech G Pro Wireless,800,1.25
motm,28 Apr 2023,Ian Hardy,"October 23, 1999",United States,Strife,VAXEE XE Yellow,400,2.00
svyat,14 Feb 2024,Svyatoslav Dovbakh,"November 7, 1994",Russia,Retired,Cooler Master MM530,1200,0.625
Jackinho,12 Sep 2023,Jack Mattson,"March 7, 1999",Sweden,Metizport,Logitech G Pro X Superlight White,400,2.10
kory,10 Oct 2023,Kornél Szedlár,"July 12, 1998",Hungary,Rare Atom,Logitech G Pro X Superlight Black,800,1.5
1mpala,28 Feb 2024,Stefan Ailazian,"February 27, 1999",Ukraine,V1dar Gaming,Xtrfy M8 Frosty Purple,1600,1.57
jR,03 Oct 2023,Dmitriy Chervak,"October 22, 1993",Ukraine,Retired,ZOWIE EC1-B,800,1.00
rAge,14 Feb 2024,Dmitry Bolotov,"July 27, 1997",Ukraine,Retired,Xtrfy M4 Black,400,3.80
JUGi,02 Mar 2024,Jakob Hansen,"April 1, 1997",Denmark,Free Agent,Razer Deathadder V3 Pro Black,700,0.80
Moose,15 Feb 2024,Kaleb Jayne,"March 19, 1998",Canada,YFP Gaming,Razer Deathadder V3 Pro White,800,0.33
Mercury,03 Oct 2023,Jingxiang Wang,"December 15, 2000",China,TyLoo,ZOWIE S2,400,2.12
Vexite,28 Feb 2024,Declan Portelli,"September 5, 2004",Australia,Grayhound Gaming,ZOWIE EC2-CW,800,1.49
joel,06 Jan 2024,Joel Holmlund,"September 24, 2004",Sweden,TSM,Logitech G Pro X Superlight Black,400,2.1
erkaSt,14 Nov 2023,Erdenetsogt Gantulga,"March 19, 1995",Mongolia,Grayhound Gaming,Logitech G Pro X Superlight Black,400,2.2
somebody,05 Mar 2024,Haowen Xu,"July 3, 1995",China,Rare Atom,Logitech G Pro X Superlight 2 Magenta,400,1.77
Zeus,29 Dec 2022,Danylo Teslenko,"October 8, 1987",Ukraine,Retired,ZOWIE FK2,1600,0.43
RpK,29 Dec 2022,Cédric Guipouy,"August 12, 1989",France,Retired,ZOWIE S2 Divina Blue,400,1.35
RUBINO,28 Nov 2023,Ruben Villaroel,"March 21, 1994",Norway,Retired,VAXEE ZYGEN NP-01,400,0.62
summit1g,13 Jul 2023,Jaryd Lazar,"April 23, 1987",United States,Content Creator,Razer Deathadder V3 Pro Black,400,1.80
Starry,11 Mar 2024,Lizhi Ye,"January 3, 2005",China,Lynn Vision,Logitech G Pro X Superlight 2 Black,400,1.45
jL,20 Feb 2024,Justinas Lekavicius,"September 29, 1999",Lithuania,Natus Vincere,Razer Viper V3 Pro Black (Unreleased),800,1
fear,06 Mar 2024,Rodion Smyk,N/A,Ukraine,Passion UA,Logitech G Pro X Superlight 2 White,400,1.3
Rock1nG,29 Dec 2022,Ivan Stratiev,"August 19, 1996",Bulgaria,allStars Gaming,Logitech G Pro X Superlight White,400,1.8
TMB,22 Feb 2024,Thomas Bundsbæk,"February 3, 2002",Denmark,Preasy,ZOWIE EC3-C,800,0.9
S0TF1k,20 May 2023,Dmitry Forostyanko,"September 29, 1994",Russia,Team Spirit Academy,Logitech G Pro X Superlight Black,800,0.95
crush,29 Dec 2022,Igor Shevchenko,"August 12, 1995",Ukraine,Natus Vincere Jr.,ZOWIE EC2-B,400,1.57
kyuubii,01 Feb 2024,Can Kamber,"March 16, 2005",Germany,Fnatic,Razer DeathAdder V3 Pro Faker Edition,800,1.15
Dimaoneshot,06 Jun 2023,Dmitriy Bandurka,"January 27, 1995",Russia,Free Agent,Logitech G Pro X Superlight White,800,1.1
devoduvek,18 Jan 2024,David Dobrosavljevic,"November 3, 1994",France,Arcadia,VAXEE XE Wireless White,400,1.6
blocker,29 Dec 2022,Yanko Panov,"April 17, 1999",Bulgaria,Free Agent,ZOWIE EC2-C,400,1.75
MistR,28 Nov 2023,Mikkel Thomsen,"April 22, 2004",Denmark,Espionage,Logitech G Pro X Superlight Magenta,600,0.92
CacaNito,18 Mar 2024,Aleksandar Kjulukoski,"November 9, 2000",North Macedonia,Apeks,Logitech G Pro X Superlight Black,400,1.5
matys,17 Feb 2024,Matúš Šimko,N/A,Slovakia,Fnatic,Glorious Model O Wireless,800,0.9
Soulfly,08 Jan 2024,Caner Kesici,"June 16, 2004",Turkey,Free Agent,Logitech G Pro X Superlight Black,800,1.3
skullz,26 Feb 2024,Felipe Medeiros,"April 20, 2002",Brazil,Team Liquid,Razer Deathadder V3 Pro Black,800,0.7
kst,27 Sep 2023,Francisco Fragoso,"November 12, 2001",Portugal,Free Agent,ZOWIE EC1-A,400,2.5
Kaze,21 Nov 2023,Andrew Khong,"July 22, 1994",Malaysia,TyLoo,Logitech G Pro X Superlight 2 White,1600,0.4
Kaze,21 Nov 2023,Andrew Khong,"July 22, 1994",Malaysia,TyLoo,Logitech G Pro X Superlight 2 White,1600,0.4
suNny,15 Jan 2024,Miika Kemppi,"August 24, 1994",Finland,Ambush Esports,Logitech G Pro X Superlight White,800,0.825
sausol,20 Sep 2023,Pere Solsona Saumell,"May 31, 2000",Spain,Sangal,VAXEE ZYGEN NP-01,800,1.2
lux,02 Mar 2024,Lucas Meneghini,"April 18, 2002",Brazil,paiN Gaming,Razer Deathadder V3 Pro Black,800,0.99
ZOREE,12 Sep 2023,Lasse Uronen,"October 15, 1993",Finland,Retired,Zowie S1 Divina Pink,400,2.00
Jeorge,21 Dec 2023,Jeorge Endicott,"April 14, 2003",United States,Nouns Esports,Logitech G Pro X Superlight Black,800,1.55
seangares,29 Dec 2022,Sean Gares,"June 10, 1988",United States,100 Thieves,HyperX Pulsefire Haste,800,0.315
mertz,05 Jun 2023,Daniel Mertz,"September 29, 1998",Denmark,Free Agent,Logitech G Pro X Superlight Black,400,2.4
fostar,03 Feb 2024,Stanislav Ostashevskyi,"March 9, 2000",Ukraine,Free Agent,Zowie FK2-B,800,1.1
DEVIL,20 Apr 2023,Timothée Démolon,"December 11, 1994",France,The Dice,SteelSeries Sensei RAW,810,0.67
NEO,14 Nov 2023,Filip Kubski,"June 15, 1987",Poland,FaZe Clan,VAXEE OUTSET AX Glossy,800,1.05
TaZ,11 Dec 2023,Wiktor Wojtas,"July 6, 1986",Poland,G2 Esports,Razer Deathadder V3 Pro Black,400,1.55
ChrisJ,02 May 2023,Chris de Jong,"May 25, 1990",Netherlands,Retired,Dream Machines DM2 Comfy,800,1.19
togs,26 Dec 2023,Victor Rapassi,N/A,Brazil,Sharks Esports,ZOWIE EC2-CW,400,1.51
npl,12 Oct 2023,Andrii Kukharskyi,"July 21, 2005",Ukraine,B8 Esports,Logitech G Pro X Superlight Red,800,1.55
supra,15 Jan 2024,Anton Tšernobai,"October 9, 2000",Estonia,Free Agent,Logitech G Pro X Superlight 2 Black,400,2.20
innocent,01 Feb 2024,Paweł Mocek,"December 20, 1993",Poland,Team Secret,Logitech G Pro X Superlight White,800,0.90
Cooper,01 Feb 2024,Austin Abadir,"May 29, 1994",United States,Mythic,Logitech G Pro X Superlight Black,800,1.2
Lucaozy,05 Jun 2023,Lucas Neves,"October 16, 2001",Brazil,Fluxo,Logitech G Pro X Superlight Black,400,2
jemi,05 May 2023,Jemi Mäkinen,N/A,Finland,Cocolovers,Razer DeathAdder V2,400,1.4
xccurate,27 Feb 2024,Kevin Susanto,"February 18, 1998",Indonesia,T1,Logitech G Pro X Superlight 2 Black,400,0.59
iDISBALANCE,12 May 2023,Artem Egorov,"December 17, 1996",Russia,9 Pandas,Logitech G Pro X Superlight White,800,1.35
FlipiN,28 Nov 2023,Antonio Rivas Del Rey,"September 28, 1987",Spain,Content Creator,Logitech G Pro X Superlight 2 White,800,1.30
paz,30 Dec 2022,Ahmet Karahoca,"April 24, 1997",Turkey,Free Agent,Logitech G Pro X Superlight Black,400,2.4
freakazoid,24 Feb 2024,Ryan Abadir,"November 25, 1992",United States,Mythic,VAXEE XE Wireless Black,400,1.78
z4kr,17 Mar 2024,SiKe Zhang,"November 14, 2002",China,Lynn Vision,ZOWIE EC2-CW,400,2.2
cromen,28 Apr 2023,Jørgen Robertsen,"May 31, 1995",Norway,Retired,ZOWIE EC2-B Divina Blue,800,0.85
Golden,13 Jan 2023,Maikil Selim,"February 2, 1994",Sweden,GODSENT,ZOWIE EC2-A,400,1.60
DeStiNy,04 Mar 2024,Lucas Bullo,"October 30, 1997",Brazil,RED Canids,ZOWIE EC3-CW,400,2.00
realzin,16 Jun 2023,Antonio Oliviera,"July 1, 1995",Brazil,RED Canids,Logitech G Pro X Superlight Black,400,2.25
shz,05 Dec 2023,Bruno Martinelli,"April 21, 1998",Brazil,O PLANO,ZOWIE EC2-CW,400,1.25
zevy,13 Jul 2023,Romeu Rocco,"May 30, 2001",Brazil,Fluxo,Logitech G Pro X Superlight Magenta,800,1.6
Kristou,30 Aug 2023,Kristoffer Aamand,"January 5, 2002",Denmark,Astralis Talent,ZOWIE EC2-B,400,2.00
Queenix,18 Mar 2024,Jonas Dideriksen,"July 15, 1999",Denmark,ECSTATIC,ZOWIE EC2-C,400,2.2
Jyo,15 Jan 2024,Rassim Vallijev,"February 18, 1995",Estonia,sYnck,Logitech G Pro X Superlight Red,800,1.50
zehN,02 Feb 2023,Jesse Linjala,"November 7, 1991",Finland,Free Agent,Logitech G Pro Wireless,400,1.50
ramz1k,30 Aug 2023,Ramazan Bashizov,"December 9, 1999",Kazakhstan,Golden Knights Gaming,ZOWIE EC2-B,400,2.90
Znorux,13 Oct 2023,Derek Graham,N/A,Mexico,Content Creator,MSI Clutch GM41,1600,0.5
Radifaction,14 Feb 2024,Haakon Tholo,N/A,Norway,Retired,ZOWIE ZA11-B,800,0.925
TOAO,02 Mar 2024,Mateusz Zawistowski,"October 7, 1996",Poland,Enterprise Esports,Razer Deathadder V3 Pro White,800,1.10
jnt,28 Dec 2022,Jhonatan Silva,"May 22, 1994",Brazil,Sharks Esports,Logitech G Pro X Superlight Black,400,2.20
danoco,13 Apr 2023,Daniel Morgado,"December 14, 1995",Brazil,RED Canids,VAXEE XE Black,400,2.10
daps,08 Mar 2024,Damian Steele,"July 29, 1993",Canada,NRG,Logitech G Pro Wireless,400,1.70
sergej,29 Apr 2023,Jere Salo,"March 1, 2002",Finland,Retired,Finalmouse Ultralight 2,400,2.20
facecrack,29 Dec 2022,Dmitriy Alekseyev,"April 22, 1994",Russia,Invictus Gaming,ZOWIE EC2-B Divina Blue,400,1.725
captainMo,29 Apr 2023,Ke Liu,"May 30, 1989",China,Steel Helmet,ZOWIE EC2-B,800,0.80
yel,17 May 2023,Gustavo Knittel,"May 22, 1992",Brazil,O PLANO,Logitech G Pro X Superlight Black,800,1.30
k1to,30 Aug 2023,Nils Gruhne,"November 28, 1998",Germany,OG Esports,VAXEE XE Wireless Black,400,1.5
SHOOWTiME,20 Apr 2023,Gustavo Gonçalves,"April 1, 1997",Brazil,Corinthians,VAXEE OUTSET AX Yellow,400,1.90
MarKE,24 Nov 2023,Edgar Maldonado,"May 10, 1998",Mexico,Nouns Esports,ZOWIE EC2-CW,800,1.00
Rickeh,04 Mar 2023,Ricky Mulholland,"November 22, 1991",Australia,Retired,Logitech MX518 HERO,800,1.00
t0rick,21 Feb 2023,Maksim Zaikin,"July 6, 1994",Azerbaijan,Retired,Logitech G Pro Wireless,800,1.10
ableJ,28 Dec 2022,Rinaldo Moda Junior,"November 5, 1998",Brazil,Free Agent,ZOWIE S2 Divina Pink,800,0.90
ScrunK,15 Jan 2024,Robin Röpke,"July 10, 1995",Germany,Retired,Zowie FK2-B,800,1.05
mir,31 Oct 2023,Nikolay Bityukov,"January 10, 1996",Russia,Virtus.pro,ZOWIE EC2-CW,400,1.55
AMANEK,18 Jan 2024,François Delauney,"August 24, 1993",France,LDLC OL,Logitech G Pro X Superlight Black,800,1.55
